OPDT,RCOURSECD,RNO,CLOSETM,投票時刻,勝式,投票方式,S,組番１,組番２,組番３,組番４,T,組番５,組番６,組番７,組番８
20210101,17,5,1206,3,３連単,三連単AB,0,2-4=5,1-2=5,1-2=4,2-5=6,2.0,2-5=4,2-5=1,2-4=1,2-5=6
20210101,8,4,1208,3,３連単,三連単AB,0,1-4=6,1-3=4,1-3=6,1-2=4,1.0,1-4=6,1-4=3,1-6=3,1-4=2
20210101,10,5,1219,3,３連単,三連単AB,0,1-2=4,1-2=5,2-4=5,1-2=6,2.0,2-1=4,2-1=5,2-4=5,2-1=6
20210101,14,8,1219,3,３連単,三連単AB,0,1-2=3,1-3=6,2-3=6,1-3=4,3.0,3-1=2,3-1=6,3-2=6,3-1=4
20210101,9,5,1220,3,３連単,三連単AB,0,1-2=3,1-3=5,1-2=5,1-3=6,1.0,1-3=2,1-3=5,1-2=5,1-3=6
20210101,21,8,1222,3,３連単,三連単AB,0,1-4=5,1-3=4,3-4=5,1-2=4,4.0,4-1=5,4-1=3,4-5=3,4-1=2
20210101,18,8,1227,3,３連単,三連単AB,0,1-4=5,1-2=5,2-4=5,1-3=5,5.0,5-1=4,5-1=2,5-4=2,5-1=3
20210101,8,5,1235,3,３連単,三連単AB,0,2-3=5,1-3=5,1-2=3,3-5=6,3.0,3-5=2,3-5=1,3-2=1,3-5=6
20210101,17,6,1236,3,３連単,三連単AB,0,1-2=5,1-3=5,1-2=3,1-4=5,1.0,1-5=2,1-5=3,1-2=3,1-5=4
20210101,9,6,1247,3,３連単,三連単AB,0,1-4=5,1-3=4,3-4=5,1-4=6,4.0,4-1=5,4-1=3,4-5=3,4-1=6
20210101,10,6,1247,3,３連単,三連単AB,0,1-3=5,1-2=5,1-2=3,1-4=5,1.0,1-5=3,1-5=2,1-3=2,1-5=4
20210101,14,9,1252,3,３連単,三連単AB,0,1-3=5,3-4=5,1-4=5,2-3=5,5.0,5-3=1,5-3=4,5-1=4,5-3=2
20210101,21,9,1256,3,３連単,三連単AB,0,1-2=3,1-2=6,2-3=6,1-2=5,2.0,2-1=3,2-1=6,2-3=6,2-1=5
20210101,18,9,1259,3,３連単,三連単AB,0,1-2=3,1-3=4,1-2=4,1-3=5,1.0,1-3=2,1-3=4,1-2=4,1-3=5
20210101,17,7,1301,3,３連単,三連単AB,0,1-4=5,3-4=5,1-3=5,2-4=5,5.0,5-4=1,5-4=3,5-1=3,5-4=2
20210101,8,6,1303,3,３連単,三連単AB,0,1-5=6,1-3=5,3-5=6,1-4=5,5.0,5-1=6,5-1=3,5-6=3,5-1=4
20210101,9,7,1316,3,３連単,三連単AB,0,2-3=5,1-2=5,1-3=5,2-5=6,5.0,5-2=3,5-2=1,5-3=1,5-2=6
20210101,10,7,1316,3,３連単,三連単AB,0,2-4=5,1-2=5,1-2=4,2-5=6,2.0,2-5=4,2-5=1,2-4=1,2-5=6
20210101,17,8,1326,3,３連単,三連単AB,0,2-3=6,1-2=3,1-2=6,2-3=5,2.0,2-3=6,2-3=1,2-6=1,2-3=5
20210101,14,10,1327,3,３連単,三連単AB,6,2-4=5,1-2=5,1-4=5,2-5=6,5.0,5-2=4,5-2=1,5-4=1,5-2=6
20210101,8,7,1331,3,３連単,三連単AB,0,1-2=6,1-2=4,2-4=6,1-2=3,2.0,2-1=6,2-1=4,2-6=4,2-1=3
20210101,21,10,1331,3,３連単,三連単AB,0,1-2=4,1-4=5,1-2=5,1-3=4,1.0,1-4=2,1-4=5,1-2=5,1-4=3
20210101,18,10,1333,3,３連単,三連単AB,0,2-4=5,1-2=5,1-2=4,2-3=5,2.0,2-5=4,2-5=1,2-4=1,2-5=3
20210101,10,8,1345,3,３連単,三連単AB,0,2-3=4,1-2=4,1-3=4,2-4=6,4.0,4-2=3,4-2=1,4-3=1,4-2=6
